Author,Name,ID,Release Status,Stack Version,Input Modalities,Output Modalities,EOL Date,Data Retention Period (Days),Data Used To Train Models?,Model Card,Provider Terms,Inference Regions
Jina,Embeddings v3,jina-embeddings-v3,Generally Available,9.3,Text,Embedding,,0,No,[jina-embeddings-v3](https://jina.ai/models/jina-embeddings-v3/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),US
Google,Gemini Embedding 001,google-gemini-embedding-001,Generally Available,9.3,Text,Text,,55 days,No,[Gemini Embedding 001](https://deepmind.google/research/publications/157741/),[Google terms](https://cloud.google.com/terms),US
OpenAI,Text Embedding 003 Large,openai-text-embedding-3-large,Generally Available,9.3,Text,Text,,Unknown,No,[Text Embedding 003 Large](https://platform.openai.com/docs/models/text-embedding-3-large),[OpenAI terms](https://openai.com/en-GB/policies/row-terms-of-use/),US
OpenAI,Text Embedding 003 Small,openai-text-embedding-3-small,Generally Available,9.3,Text,Text,,Unknown,No,[Text Embedding 003 Small](https://platform.openai.com/docs/models/text-embedding-3-small),[OpenAI terms](https://openai.com/en-GB/policies/row-terms-of-use/),US
Elastic,ELSER v2,elser_model_2,Generally Available,9.2,Text,Embedding,,0,No,[ELSER docs](https://www.elastic.co/docs/explore-analyze/machine-learning/nlp/ml-nlp-elser),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),US
Anthropic,Claude Sonnet 3.7,anthropic-claude-3.7-sonnet,Generally Available,9.2,Text,Text,2026-04-28,0,No,[Claude 3.7 Sonnet System Card](https://assets.anthropic.com/m/785e231869ea8b3b/original/claude-3-7-sonnet-system-card.pdf),[AWS terms](https://aws.amazon.com/service-terms/),US
Anthropic,Claude Sonnet 4.5,anthropic-claude-4.5-sonnet,Generally Available,9.2,Text,Text,2026-09-29,0,No,[Claude Sonnet 4.5 System Card](https://assets.anthropic.com/m/12f214efcc2f457a/original/Claude-Sonnet-4-5-System-Card.pdf),[AWS terms](https://aws.amazon.com/service-terms/),US
Google,Gemini 2.5 Flash,google-gemini-2.5-flash,Generally Available,9.3,Text,Text,2027-06-17,0,No,[Google Gemini 2.5 Flash](https://modelcards.withgoogle.com/assets/documents/gemini-2-flash.pdf),[Google terms](https://cloud.google.com/terms),US
Google,Gemini 2.5 Pro,google-gemini-2.5-pro,Generally Available,9.3,Text,Text,2027-06-17,0,No,[Google Gemini 2.5 Pro](https://modelcards.withgoogle.com/assets/documents/gemini-2.5-pro.pdf),[Google terms](https://cloud.google.com/terms),US
OpenAI,GPT-4.1,openai-gpt-4.1,Generally Available,9.3,Text,Text,2027-04-11,0,No,[OpenAI GPT 4.1](https://platform.openai.com/docs/models/gpt-4.1),[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),US
OpenAI,GPT-4.1 Mini,openai-gpt-4.1-mini,Generally Available,9.3,Text,Text,2027-04-11,0,No,[OpenAI GPT 4.1 Mini](https://platform.openai.com/docs/models/gpt-4.1-mini),[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),US
OpenAI,GPT-5.2,openai-gpt-5.2,Generally Available,9.3,Text,Text,,0,No,[OpenAI GPT 5.2](https://platform.openai.com/docs/models/gpt-5.2),[Microsoft Terms](https://azure.microsoft.com/en-gb/support/legal/),US
OpenAI,GPT-OSS 120B,openai-gpt-oss-120b,Generally Available,9.3,Text,Text,,0,No,[OpenAI GPT-OSS-120B](http://gpt-oss-120b/),[Nebius terms](https://docs.nebius.com/legal/terms-of-use)<br>[Together AI Terms](https://www.together.ai/terms-of-service)<br>[DeepInfra Terms](https://deepinfra.com/terms)<br>[Groq Terms](https://groq.com/terms-of-use),US
Jina,Reranker v2,jina-reranker-v2-base-multilingual,Generally Available,9.3,Text,Text,,0,No,[jina-reranker-v2-base-multilingual](https://jina.ai/models/jina-reranker-v2-base-multilingual/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),US
Jina,Reranker v3,jina-reranker-v3,Generally Available,9.3,Text,Text,,0,No,[jina-reranker-v3](https://jina.ai/models/jina-reranker-v3/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),US
